Individual Goals,Age,Gender,Risk Tolerance,Financial Literacy,Recommended Investment Products
buying a house,40,Female,Low,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,72,Male,Medium,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,19,Male,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,72,Female,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,26,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,66,Male,Low,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,52,Male,High,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,67,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,61,Male,High,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,14,Female,High,5,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
planning a vacation,4,Male,Low,1,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
starting a business,67,Female,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,11,Female,Low,3,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
saving for retirement,77,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,75,Female,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,56,Female,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,16,Female,Medium,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
buying a house,24,Male,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,29,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,21,Male,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,25,Male,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,80,Male,Low,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,60,Male,High,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,61,Male,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,33,Female,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,32,Female,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,70,Female,Low,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,31,Female,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,13,Male,Low,1,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
purchasing for self,71,Female,Medium,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,56,Male,Medium,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,24,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,79,Male,Low,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,41,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,18,Female,Medium,2,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for retirement,40,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,54,Male,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,79,Female,High,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,11,Male,Low,3,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for education,38,Male,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,1,Female,High,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
saving for education,44,Female,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,24,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,67,Female,Low,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,3,Female,High,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
planning a vacation,76,Female,Low,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,35,Female,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,61,Female,Low,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,69,Female,Low,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,43,Female,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,32,Female,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,11,Male,Low,1,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
purchasing for self,10,Male,Low,2,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
buying a house,54,Female,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,37,Male,Medium,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,28,Male,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,2,Male,High,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,27,Male,High,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,23,Male,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,53,Female,Medium,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,51,Male,Medium,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,46,Female,Medium,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,20,Female,High,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,53,Female,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,29,Female,High,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,67,Male,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,35,Male,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,39,Male,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,9,Male,High,5,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
saving for retirement,73,Female,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,41,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,23,Male,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,3,Male,Medium,1,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for education,46,Male,Medium,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,50,Female,High,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,3,Female,High,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
purchasing for self,31,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,9,Female,High,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
purchasing for self,10,Male,Low,2,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
starting a business,27,Male,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,45,Female,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,71,Female,High,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,39,Female,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,61,Female,Medium,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,44,Female,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,34,Female,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,34,Female,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,33,Female,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,5,Female,Medium,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
planning a vacation,36,Female,High,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,0,Male,High,2,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for retirement,75,Male,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,34,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,69,Male,Low,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,53,Female,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,80,Male,High,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,62,Female,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,8,Female,Low,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
saving for education,61,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,1,Female,Low,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
buying a house,35,Female,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,40,Female,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,36,Male,High,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,48,Female,High,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,25,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,67,Female,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,35,Male,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,30,Male,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,29,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,33,Male,High,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,18,Female,Medium,2,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
purchasing for self,17,Female,Low,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
starting a business,2,Female,Low,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
starting a business,69,Male,Low,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,12,Male,Medium,1,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
buying a house,44,Male,Medium,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,66,Female,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,39,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,39,Male,Low,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
